Rep 1, sep = 2: Witten [feat = 75, acc = 0.515], Arias [feat = 140, acc = 0.520], IF-PCA [feat = 13, acc = 0.665]
Rep 20, sep = 2: Witten [feat = 69, acc = 0.540], Arias [feat = 108, acc = 0.525], IF-PCA [feat = 94, acc = 0.775]
Rep 27, sep = 2: Witten [feat = 77, acc = 0.550], Arias [feat = 124, acc = 0.555], IF-PCA [feat = 48, acc = 0.660]
Rep 23, sep = 2: Witten [feat = 76, acc = 0.525], Arias [feat = 100, acc = 0.530], IF-PCA [feat = 13, acc = 0.600]
Rep 24, sep = 2: Witten [feat = 72, acc = 0.520], Arias [feat = 96, acc = 0.505], IF-PCA [feat = 40, acc = 0.535]
Rep 26, sep = 2: Witten [feat = 78, acc = 0.535], Arias [feat = 144, acc = 0.550], IF-PCA [feat = 9, acc = 0.550]
Rep 21, sep = 2: Witten [feat = 79, acc = 0.505], Arias [feat = 132, acc = 0.505], IF-PCA [feat = 40, acc = 0.550]
Rep 25, sep = 2: Witten [feat = 75, acc = 0.525], Arias [feat = 120, acc = 0.545], IF-PCA [feat = 15, acc = 0.695]
Rep 28, sep = 2: Witten [feat = 72, acc = 0.555], Arias [feat = 144, acc = 0.555], IF-PCA [feat = 90, acc = 0.775]
Rep 29, sep = 2: Witten [feat = 76, acc = 0.565], Arias [feat = 132, acc = 0.560], IF-PCA [feat = 78, acc = 0.590]
Rep 30, sep = 2: Witten [feat = 71, acc = 0.520], Arias [feat = 108, acc = 0.515], IF-PCA [feat = 87, acc = 0.700]
Rep 31, sep = 2: Witten [feat = 78, acc = 0.510], Arias [feat = 112, acc = 0.510], IF-PCA [feat = 94, acc = 0.715]
Rep 36, sep = 2: Witten [feat = 74, acc = 0.500], Arias [feat = 148, acc = 0.500], IF-PCA [feat = 21, acc = 0.730]
Rep 32, sep = 2: Witten [feat = 78, acc = 0.600], Arias [feat = 108, acc = 0.555], IF-PCA [feat = 18, acc = 0.520]
Rep 34, sep = 2: Witten [feat = 77, acc = 0.530], Arias [feat = 128, acc = 0.530], IF-PCA [feat = 84, acc = 0.735]
Rep 35, sep = 2: Witten [feat = 76, acc = 0.540], Arias [feat = 104, acc = 0.540], IF-PCA [feat = 26, acc = 0.600]
Rep 33, sep = 2: Witten [feat = 84, acc = 0.505], Arias [feat = 108, acc = 0.540], IF-PCA [feat = 12, acc = 0.540]
Rep 37, sep = 2: Witten [feat = 79, acc = 0.505], Arias [feat = 92, acc = 0.510], IF-PCA [feat = 10, acc = 0.525]
Rep 38, sep = 2: Witten [feat = 69, acc = 0.520], Arias [feat = 160, acc = 0.515], IF-PCA [feat = 64, acc = 0.765]
Rep 39, sep = 2: Witten [feat = 71, acc = 0.505], Arias [feat = 104, acc = 0.500], IF-PCA [feat = 21, acc = 0.665]
Rep 40, sep = 2: Witten [feat = 73, acc = 0.530], Arias [feat = 160, acc = 0.525], IF-PCA [feat = 53, acc = 0.770]
Rep 41, sep = 2: Witten [feat = 79, acc = 0.520], Arias [feat = 120, acc = 0.520], IF-PCA [feat = 38, acc = 0.565]
Rep 42, sep = 2: Witten [feat = 86, acc = 0.500], Arias [feat = 100, acc = 0.505], IF-PCA [feat = 31, acc = 0.530]
Rep 44, sep = 2: Witten [feat = 73, acc = 0.535], Arias [feat = 128, acc = 0.545], IF-PCA [feat = 98, acc = 0.690]
Rep 45, sep = 2: Witten [feat = 72, acc = 0.535], Arias [feat = 124, acc = 0.520], IF-PCA [feat = 29, acc = 0.585]
Rep 43, sep = 2: Witten [feat = 69, acc = 0.550], Arias [feat = 116, acc = 0.545], IF-PCA [feat = 66, acc = 0.650]
Rep 46, sep = 2: Witten [feat = 76, acc = 0.500], Arias [feat = 124, acc = 0.520], IF-PCA [feat = 62, acc = 0.625]
Rep 47, sep = 2: Witten [feat = 81, acc = 0.540], Arias [feat = 112, acc = 0.540], IF-PCA [feat = 100, acc = 0.585]
Rep 48, sep = 2: Witten [feat = 83, acc = 0.535], Arias [feat = 100, acc = 0.540], IF-PCA [feat = 44, acc = 0.590]
Rep 49, sep = 2: Witten [feat = 73, acc = 0.560], Arias [feat = 88, acc = 0.550], IF-PCA [feat = 36, acc = 0.565]
Rep 50, sep = 2: Witten [feat = 72, acc = 0.515], Arias [feat = 100, acc = 0.530], IF-PCA [feat = 18, acc = 0.545]
Rep 51, sep = 2: Witten [feat = 77, acc = 0.535], Arias [feat = 104, acc = 0.535], IF-PCA [feat = 10, acc = 0.645]
Rep 52, sep = 2: Witten [feat = 71, acc = 0.525], Arias [feat = 120, acc = 0.525], IF-PCA [feat = 10, acc = 0.630]
Rep 54, sep = 2: Witten [feat = 69, acc = 0.525], Arias [feat = 136, acc = 0.520], IF-PCA [feat = 27, acc = 0.745]
Rep 53, sep = 2: Witten [feat = 73, acc = 0.550], Arias [feat = 104, acc = 0.555], IF-PCA [feat = 25, acc = 0.600]
Rep 55, sep = 2: Witten [feat = 68, acc = 0.535], Arias [feat = 128, acc = 0.545], IF-PCA [feat = 93, acc = 0.720]
Rep 56, sep = 2: Witten [feat = 72, acc = 0.520], Arias [feat = 88, acc = 0.525], IF-PCA [feat = 15, acc = 0.520]
Rep 59, sep = 2: Witten [feat = 80, acc = 0.545], Arias [feat = 128, acc = 0.560], IF-PCA [feat = 10, acc = 0.575]
Rep 57, sep = 2: Witten [feat = 73, acc = 0.500], Arias [feat = 112, acc = 0.500], IF-PCA [feat = 12, acc = 0.610]
Rep 58, sep = 2: Witten [feat = 82, acc = 0.545], Arias [feat = 92, acc = 0.550], IF-PCA [feat = 29, acc = 0.560]
Rep 60, sep = 2: Witten [feat = 78, acc = 0.520], Arias [feat = 92, acc = 0.510], IF-PCA [feat = 36, acc = 0.645]
Rep 61, sep = 2: Witten [feat = 78, acc = 0.525], Arias [feat = 88, acc = 0.530], IF-PCA [feat = 99, acc = 0.685]
Rep 64, sep = 2: Witten [feat = 84, acc = 0.540], Arias [feat = 112, acc = 0.510], IF-PCA [feat = 63, acc = 0.530]
Rep 63, sep = 2: Witten [feat = 74, acc = 0.510], Arias [feat = 104, acc = 0.505], IF-PCA [feat = 99, acc = 0.680]
Rep 62, sep = 2: Witten [feat = 78, acc = 0.500], Arias [feat = 140, acc = 0.500], IF-PCA [feat = 56, acc = 0.625]
Rep 65, sep = 2: Witten [feat = 75, acc = 0.545], Arias [feat = 72, acc = 0.550], IF-PCA [feat = 79, acc = 0.570]
Rep 66, sep = 2: Witten [feat = 76, acc = 0.500], Arias [feat = 132, acc = 0.505], IF-PCA [feat = 16, acc = 0.660]
Rep 67, sep = 2: Witten [feat = 71, acc = 0.510], Arias [feat = 92, acc = 0.500], IF-PCA [feat = 40, acc = 0.505]
Rep 68, sep = 2: Witten [feat = 76, acc = 0.560], Arias [feat = 100, acc = 0.555], IF-PCA [feat = 24, acc = 0.585]
Rep 69, sep = 2: Witten [feat = 72, acc = 0.500], Arias [feat = 116, acc = 0.505], IF-PCA [feat = 50, acc = 0.555]
Rep 70, sep = 2: Witten [feat = 76, acc = 0.540], Arias [feat = 120, acc = 0.550], IF-PCA [feat = 82, acc = 0.595]
Rep 71, sep = 2: Witten [feat = 72, acc = 0.540], Arias [feat = 112, acc = 0.545], IF-PCA [feat = 85, acc = 0.755]
Rep 74, sep = 2: Witten [feat = 75, acc = 0.505], Arias [feat = 92, acc = 0.505], IF-PCA [feat = 19, acc = 0.520]
Rep 73, sep = 2: Witten [feat = 71, acc = 0.500], Arias [feat = 132, acc = 0.500], IF-PCA [feat = 79, acc = 0.710]
Rep 72, sep = 2: Witten [feat = 80, acc = 0.540], Arias [feat = 132, acc = 0.540], IF-PCA [feat = 87, acc = 0.575]
Rep 75, sep = 2: Witten [feat = 69, acc = 0.575], Arias [feat = 120, acc = 0.575], IF-PCA [feat = 98, acc = 0.715]
Rep 76, sep = 2: Witten [feat = 84, acc = 0.505], Arias [feat = 116, acc = 0.520], IF-PCA [feat = 35, acc = 0.540]
Rep 78, sep = 2: Witten [feat = 81, acc = 0.525], Arias [feat = 96, acc = 0.540], IF-PCA [feat = 61, acc = 0.580]
Rep 77, sep = 2: Witten [feat = 87, acc = 0.510], Arias [feat = 100, acc = 0.510], IF-PCA [feat = 54, acc = 0.515]
Rep 79, sep = 2: Witten [feat = 70, acc = 0.525], Arias [feat = 116, acc = 0.525], IF-PCA [feat = 76, acc = 0.630]
Rep 80, sep = 2: Witten [feat = 83, acc = 0.505], Arias [feat = 104, acc = 0.515], IF-PCA [feat = 100, acc = 0.510]
Rep 81, sep = 2: Witten [feat = 63, acc = 0.510], Arias [feat = 120, acc = 0.500], IF-PCA [feat = 80, acc = 0.665]
Rep 84, sep = 2: Witten [feat = 80, acc = 0.500], Arias [feat = 112, acc = 0.500], IF-PCA [feat = 16, acc = 0.540]
Rep 85, sep = 2: Witten [feat = 76, acc = 0.535], Arias [feat = 108, acc = 0.550], IF-PCA [feat = 48, acc = 0.585]
Rep 86, sep = 2: Witten [feat = 73, acc = 0.500], Arias [feat = 96, acc = 0.500], IF-PCA [feat = 82, acc = 0.520]
Rep 82, sep = 2: Witten [feat = 78, acc = 0.515], Arias [feat = 108, acc = 0.500], IF-PCA [feat = 89, acc = 0.565]
Rep 83, sep = 2: Witten [feat = 78, acc = 0.515], Arias [feat = 100, acc = 0.530], IF-PCA [feat = 19, acc = 0.535]
Rep 87, sep = 2: Witten [feat = 68, acc = 0.525], Arias [feat = 136, acc = 0.555], IF-PCA [feat = 11, acc = 0.645]
Rep 88, sep = 2: Witten [feat = 81, acc = 0.505], Arias [feat = 124, acc = 0.525], IF-PCA [feat = 79, acc = 0.650]
Rep 89, sep = 2: Witten [feat = 82, acc = 0.550], Arias [feat = 108, acc = 0.540], IF-PCA [feat = 78, acc = 0.585]
Rep 90, sep = 2: Witten [feat = 79, acc = 0.550], Arias [feat = 116, acc = 0.545], IF-PCA [feat = 18, acc = 0.565]
Rep 91, sep = 2: Witten [feat = 85, acc = 0.530], Arias [feat = 116, acc = 0.530], IF-PCA [feat = 23, acc = 0.515]
Rep 92, sep = 2: Witten [feat = 82, acc = 0.505], Arias [feat = 96, acc = 0.500], IF-PCA [feat = 10, acc = 0.670]
Rep 93, sep = 2: Witten [feat = 78, acc = 0.515], Arias [feat = 116, acc = 0.515], IF-PCA [feat = 9, acc = 0.640]
Rep 96, sep = 2: Witten [feat = 76, acc = 0.515], Arias [feat = 96, acc = 0.525], IF-PCA [feat = 73, acc = 0.620]
Rep 94, sep = 2: Witten [feat = 77, acc = 0.535], Arias [feat = 88, acc = 0.575], IF-PCA [feat = 51, acc = 0.605]
Rep 97, sep = 2: Witten [feat = 66, acc = 0.510], Arias [feat = 128, acc = 0.525], IF-PCA [feat = 68, acc = 0.740]
Rep 95, sep = 2: Witten [feat = 77, acc = 0.555], Arias [feat = 140, acc = 0.540], IF-PCA [feat = 83, acc = 0.565]
Rep 98, sep = 2: Witten [feat = 78, acc = 0.525], Arias [feat = 100, acc = 0.540], IF-PCA [feat = 57, acc = 0.515]
Rep 99, sep = 2: Witten [feat = 75, acc = 0.505], Arias [feat = 104, acc = 0.500], IF-PCA [feat = 22, acc = 0.675]
Rep 100, sep = 2: Witten [feat = 83, acc = 0.575], Arias [feat = 96, acc = 0.550], IF-PCA [feat = 58, acc = 0.515]
Rep 9, sep = NULL: Witten [feat = 62, acc = 0.500], Arias [feat = 136, acc = 0.505], IF-PCA [feat = 11, acc = 0.995]
Rep 8, sep = NULL: Witten [feat = 69, acc = 0.540], Arias [feat = 144, acc = 0.570], IF-PCA [feat = 17, acc = 0.995]
Rep 1, sep = NULL: Witten [feat = 78, acc = 0.510], Arias [feat = 152, acc = 0.510], IF-PCA [feat = 11, acc = 0.710]
Rep 7, sep = NULL: Witten [feat = 63, acc = 0.525], Arias [feat = 108, acc = 0.510], IF-PCA [feat = 19, acc = 0.800]
Rep 5, sep = NULL: Witten [feat = 74, acc = 0.540], Arias [feat = 124, acc = 0.530], IF-PCA [feat = 64, acc = 0.645]
Rep 3, sep = NULL: Witten [feat = 65, acc = 0.505], Arias [feat = 108, acc = 0.500], IF-PCA [feat = 13, acc = 0.830]
Rep 6, sep = NULL: Witten [feat = 81, acc = 0.560], Arias [feat = 112, acc = 0.560], IF-PCA [feat = 30, acc = 0.645]
Rep 2, sep = NULL: Witten [feat = 78, acc = 0.560], Arias [feat = 96, acc = 0.550], IF-PCA [feat = 34, acc = 0.530]
Rep 4, sep = NULL: Witten [feat = 95, acc = 0.535], Arias [feat = 108, acc = 0.510], IF-PCA [feat = 98, acc = 0.590]
Rep 14, sep = NULL: Witten [feat = 67, acc = 0.570], Arias [feat = 116, acc = 0.570], IF-PCA [feat = 12, acc = 0.980]
Rep 10, sep = NULL: Witten [feat = 75, acc = 0.580], Arias [feat = 104, acc = 0.575], IF-PCA [feat = 100, acc = 0.745]
Rep 11, sep = NULL: Witten [feat = 74, acc = 0.540], Arias [feat = 104, acc = 0.540], IF-PCA [feat = 83, acc = 0.770]
Rep 12, sep = NULL: Witten [feat = 72, acc = 0.510], Arias [feat = 144, acc = 0.510], IF-PCA [feat = 15, acc = 0.825]
Rep 16, sep = NULL: Witten [feat = 69, acc = 0.545], Arias [feat = 132, acc = 0.535], IF-PCA [feat = 69, acc = 0.685]
Rep 15, sep = NULL: Witten [feat = 66, acc = 0.525], Arias [feat = 100, acc = 0.525], IF-PCA [feat = 9, acc = 0.970]
Rep 13, sep = NULL: Witten [feat = 62, acc = 0.510], Arias [feat = 128, acc = 0.510], IF-PCA [feat = 87, acc = 0.930]
Rep 17, sep = NULL: Witten [feat = 68, acc = 0.520], Arias [feat = 124, acc = 0.525], IF-PCA [feat = 85, acc = 0.830]
Rep 18, sep = NULL: Witten [feat = 80, acc = 0.610], Arias [feat = 108, acc = 0.620], IF-PCA [feat = 94, acc = 0.570]
Rep 19, sep = NULL: Witten [feat = 65, acc = 0.560], Arias [feat = 124, acc = 0.565], IF-PCA [feat = 10, acc = 0.930]
Rep 20, sep = NULL: Witten [feat = 66, acc = 0.535], Arias [feat = 144, acc = 0.540], IF-PCA [feat = 15, acc = 1.000]
Rep 21, sep = NULL: Witten [feat = 73, acc = 0.520], Arias [feat = 108, acc = 0.515], IF-PCA [feat = 88, acc = 0.550]
Rep 23, sep = NULL: Witten [feat = 67, acc = 0.565], Arias [feat = 124, acc = 0.545], IF-PCA [feat = 91, acc = 0.795]
Rep 22, sep = NULL: Witten [feat = 67, acc = 0.525], Arias [feat = 144, acc = 0.525], IF-PCA [feat = 7, acc = 0.965]
Rep 25, sep = NULL: Witten [feat = 65, acc = 0.555], Arias [feat = 128, acc = 0.545], IF-PCA [feat = 36, acc = 0.900]
Rep 26, sep = NULL: Witten [feat = 77, acc = 0.565], Arias [feat = 116, acc = 0.545], IF-PCA [feat = 12, acc = 0.660]
Rep 24, sep = NULL: Witten [feat = 70, acc = 0.525], Arias [feat = 104, acc = 0.510], IF-PCA [feat = 85, acc = 0.605]
Rep 27, sep = NULL: Witten [feat = 72, acc = 0.525], Arias [feat = 116, acc = 0.540], IF-PCA [feat = 71, acc = 0.735]
Rep 28, sep = NULL: Witten [feat = 65, acc = 0.565], Arias [feat = 128, acc = 0.565], IF-PCA [feat = 12, acc = 0.990]
Rep 29, sep = NULL: Witten [feat = 74, acc = 0.555], Arias [feat = 124, acc = 0.560], IF-PCA [feat = 100, acc = 0.675]
Rep 30, sep = NULL: Witten [feat = 71, acc = 0.515], Arias [feat = 104, acc = 0.530], IF-PCA [feat = 100, acc = 0.800]
Rep 31, sep = NULL: Witten [feat = 74, acc = 0.505], Arias [feat = 176, acc = 0.500], IF-PCA [feat = 27, acc = 0.835]
Rep 33, sep = NULL: Witten [feat = 75, acc = 0.540], Arias [feat = 88, acc = 0.550], IF-PCA [feat = 71, acc = 0.560]
Rep 32, sep = NULL: Witten [feat = 88, acc = 0.560], Arias [feat = 92, acc = 0.540], IF-PCA [feat = 8, acc = 0.595]
Rep 35, sep = NULL: Witten [feat = 76, acc = 0.535], Arias [feat = 112, acc = 0.540], IF-PCA [feat = 25, acc = 0.595]
Rep 34, sep = NULL: Witten [feat = 66, acc = 0.595], Arias [feat = 140, acc = 0.590], IF-PCA [feat = 21, acc = 0.955]
Rep 36, sep = NULL: Witten [feat = 62, acc = 0.505], Arias [feat = 140, acc = 0.500], IF-PCA [feat = 11, acc = 0.920]
Rep 38, sep = NULL: Witten [feat = 67, acc = 0.515], Arias [feat = 132, acc = 0.520], IF-PCA [feat = 29, acc = 0.970]
Rep 37, sep = NULL: Witten [feat = 71, acc = 0.505], Arias [feat = 100, acc = 0.505], IF-PCA [feat = 23, acc = 0.500]
Rep 39, sep = NULL: Witten [feat = 69, acc = 0.505], Arias [feat = 128, acc = 0.500], IF-PCA [feat = 100, acc = 0.895]
Rep 40, sep = NULL: Witten [feat = 67, acc = 0.515], Arias [feat = 148, acc = 0.520], IF-PCA [feat = 13, acc = 0.980]
Rep 41, sep = NULL: Witten [feat = 69, acc = 0.560], Arias [feat = 124, acc = 0.550], IF-PCA [feat = 39, acc = 0.680]
Rep 44, sep = NULL: Witten [feat = 68, acc = 0.520], Arias [feat = 124, acc = 0.530], IF-PCA [feat = 100, acc = 0.960]
Rep 42, sep = NULL: Witten [feat = 82, acc = 0.540], Arias [feat = 108, acc = 0.540], IF-PCA [feat = 23, acc = 0.560]
Rep 43, sep = NULL: Witten [feat = 70, acc = 0.625], Arias [feat = 152, acc = 0.620], IF-PCA [feat = 60, acc = 0.895]
Rep 45, sep = NULL: Witten [feat = 65, acc = 0.535], Arias [feat = 128, acc = 0.530], IF-PCA [feat = 29, acc = 0.765]
Rep 46, sep = NULL: Witten [feat = 80, acc = 0.555], Arias [feat = 116, acc = 0.525], IF-PCA [feat = 62, acc = 0.735]
Rep 47, sep = NULL: Witten [feat = 77, acc = 0.530], Arias [feat = 100, acc = 0.545], IF-PCA [feat = 100, acc = 0.695]
Rep 48, sep = NULL: Witten [feat = 77, acc = 0.525], Arias [feat = 104, acc = 0.510], IF-PCA [feat = 15, acc = 0.775]
Rep 49, sep = NULL: Witten [feat = 67, acc = 0.560], Arias [feat = 104, acc = 0.560], IF-PCA [feat = 22, acc = 0.675]
Rep 51, sep = NULL: Witten [feat = 68, acc = 0.550], Arias [feat = 136, acc = 0.555], IF-PCA [feat = 10, acc = 0.960]
Rep 54, sep = NULL: Witten [feat = 69, acc = 0.510], Arias [feat = 164, acc = 0.510], IF-PCA [feat = 24, acc = 0.970]
Rep 56, sep = NULL: Witten [feat = 72, acc = 0.520], Arias [feat = 104, acc = 0.520], IF-PCA [feat = 17, acc = 0.580]
Rep 55, sep = NULL: Witten [feat = 59, acc = 0.540], Arias [feat = 124, acc = 0.545], IF-PCA [feat = 87, acc = 0.945]
Rep 50, sep = NULL: Witten [feat = 67, acc = 0.545], Arias [feat = 152, acc = 0.565], IF-PCA [feat = 88, acc = 0.685]
Rep 52, sep = NULL: Witten [feat = 73, acc = 0.530], Arias [feat = 148, acc = 0.530], IF-PCA [feat = 29, acc = 0.940]
Rep 57, sep = NULL: Witten [feat = 71, acc = 0.550], Arias [feat = 132, acc = 0.535], IF-PCA [feat = 18, acc = 0.755]
Rep 58, sep = NULL: Witten [feat = 75, acc = 0.525], Arias [feat = 112, acc = 0.525], IF-PCA [feat = 68, acc = 0.740]
Rep 53, sep = NULL: Witten [feat = 73, acc = 0.550], Arias [feat = 60, acc = 0.575], IF-PCA [feat = 89, acc = 0.505]
Rep 59, sep = NULL: Witten [feat = 63, acc = 0.550], Arias [feat = 132, acc = 0.550], IF-PCA [feat = 71, acc = 0.925]
Rep 60, sep = NULL: Witten [feat = 68, acc = 0.520], Arias [feat = 120, acc = 0.520], IF-PCA [feat = 100, acc = 0.795]
Rep 62, sep = NULL: Witten [feat = 68, acc = 0.540], Arias [feat = 120, acc = 0.550], IF-PCA [feat = 96, acc = 0.730]
Rep 61, sep = NULL: Witten [feat = 68, acc = 0.525], Arias [feat = 136, acc = 0.530], IF-PCA [feat = 22, acc = 0.845]
Rep 63, sep = NULL: Witten [feat = 64, acc = 0.510], Arias [feat = 132, acc = 0.505], IF-PCA [feat = 90, acc = 0.965]
Rep 65, sep = NULL: Witten [feat = 67, acc = 0.530], Arias [feat = 108, acc = 0.540], IF-PCA [feat = 52, acc = 0.715]
Rep 66, sep = NULL: Witten [feat = 71, acc = 0.525], Arias [feat = 120, acc = 0.530], IF-PCA [feat = 46, acc = 0.795]
Rep 64, sep = NULL: Witten [feat = 81, acc = 0.510], Arias [feat = 112, acc = 0.520], IF-PCA [feat = 32, acc = 0.520]
Rep 67, sep = NULL: Witten [feat = 73, acc = 0.510], Arias [feat = 96, acc = 0.505], IF-PCA [feat = 19, acc = 0.530]
Rep 68, sep = NULL: Witten [feat = 68, acc = 0.560], Arias [feat = 116, acc = 0.555], IF-PCA [feat = 15, acc = 0.655]
Rep 69, sep = NULL: Witten [feat = 77, acc = 0.510], Arias [feat = 112, acc = 0.515], IF-PCA [feat = 8, acc = 0.630]
Rep 70, sep = NULL: Witten [feat = 73, acc = 0.565], Arias [feat = 164, acc = 0.555], IF-PCA [feat = 67, acc = 0.720]
Rep 71, sep = NULL: Witten [feat = 66, acc = 0.545], Arias [feat = 140, acc = 0.545], IF-PCA [feat = 17, acc = 0.950]
Rep 73, sep = NULL: Witten [feat = 71, acc = 0.505], Arias [feat = 136, acc = 0.505], IF-PCA [feat = 96, acc = 0.935]
Rep 72, sep = NULL: Witten [feat = 72, acc = 0.540], Arias [feat = 116, acc = 0.550], IF-PCA [feat = 91, acc = 0.750]
Rep 74, sep = NULL: Witten [feat = 72, acc = 0.505], Arias [feat = 108, acc = 0.500], IF-PCA [feat = 39, acc = 0.660]
Rep 76, sep = NULL: Witten [feat = 76, acc = 0.500], Arias [feat = 108, acc = 0.510], IF-PCA [feat = 63, acc = 0.845]
Rep 75, sep = NULL: Witten [feat = 68, acc = 0.530], Arias [feat = 148, acc = 0.535], IF-PCA [feat = 43, acc = 0.940]
Rep 77, sep = NULL: Witten [feat = 72, acc = 0.590], Arias [feat = 120, acc = 0.605], IF-PCA [feat = 82, acc = 0.825]
Rep 79, sep = NULL: Witten [feat = 66, acc = 0.505], Arias [feat = 144, acc = 0.510], IF-PCA [feat = 12, acc = 0.920]
Rep 78, sep = NULL: Witten [feat = 81, acc = 0.515], Arias [feat = 116, acc = 0.525], IF-PCA [feat = 28, acc = 0.595]
Rep 80, sep = NULL: Witten [feat = 85, acc = 0.510], Arias [feat = 96, acc = 0.520], IF-PCA [feat = 85, acc = 0.520]
Rep 81, sep = NULL: Witten [feat = 66, acc = 0.510], Arias [feat = 132, acc = 0.515], IF-PCA [feat = 15, acc = 0.890]
Rep 82, sep = NULL: Witten [feat = 76, acc = 0.510], Arias [feat = 104, acc = 0.510], IF-PCA [feat = 58, acc = 0.650]
Rep 83, sep = NULL: Witten [feat = 73, acc = 0.520], Arias [feat = 96, acc = 0.530], IF-PCA [feat = 29, acc = 0.590]
Rep 84, sep = NULL: Witten [feat = 68, acc = 0.555], Arias [feat = 112, acc = 0.555], IF-PCA [feat = 25, acc = 0.680]
Rep 87, sep = NULL: Witten [feat = 67, acc = 0.560], Arias [feat = 136, acc = 0.560], IF-PCA [feat = 98, acc = 0.830]
Rep 86, sep = NULL: Witten [feat = 82, acc = 0.500], Arias [feat = 96, acc = 0.510], IF-PCA [feat = 47, acc = 0.555]
Rep 85, sep = NULL: Witten [feat = 68, acc = 0.550], Arias [feat = 116, acc = 0.550], IF-PCA [feat = 21, acc = 0.620]
Rep 88, sep = NULL: Witten [feat = 70, acc = 0.525], Arias [feat = 124, acc = 0.530], IF-PCA [feat = 11, acc = 0.990]
Rep 89, sep = NULL: Witten [feat = 77, acc = 0.545], Arias [feat = 96, acc = 0.550], IF-PCA [feat = 28, acc = 0.605]
Rep 90, sep = NULL: Witten [feat = 69, acc = 0.510], Arias [feat = 112, acc = 0.515], IF-PCA [feat = 15, acc = 0.890]
Rep 91, sep = NULL: Witten [feat = 73, acc = 0.510], Arias [feat = 96, acc = 0.505], IF-PCA [feat = 14, acc = 0.575]
Rep 92, sep = NULL: Witten [feat = 73, acc = 0.510], Arias [feat = 132, acc = 0.510], IF-PCA [feat = 55, acc = 0.805]
Rep 93, sep = NULL: Witten [feat = 66, acc = 0.545], Arias [feat = 132, acc = 0.535], IF-PCA [feat = 11, acc = 0.925]
Rep 94, sep = NULL: Witten [feat = 69, acc = 0.545], Arias [feat = 116, acc = 0.530], IF-PCA [feat = 10, acc = 0.830]
Rep 95, sep = NULL: Witten [feat = 77, acc = 0.555], Arias [feat = 132, acc = 0.555], IF-PCA [feat = 63, acc = 0.590]
Rep 98, sep = NULL: Witten [feat = 85, acc = 0.540], Arias [feat = 104, acc = 0.535], IF-PCA [feat = 69, acc = 0.515]
Rep 97, sep = NULL: Witten [feat = 66, acc = 0.520], Arias [feat = 124, acc = 0.525], IF-PCA [feat = 25, acc = 0.990]
